interact_step,reward,step
188.0,-257.48797163753864,200.0
189.0,-259.0505076133873,200.0
190.0,-259.05766470224086,200.0
191.0,-258.4313711098326,200.0
192.0,-259.4634880090856,200.0
193.0,-252.486127973674,200.0
194.0,-253.3393691096854,200.0
195.0,-258.012354543528,200.0
196.0,-378.42741022687454,200.0
197.0,-252.4285696509301,200.0
198.0,-252.16522475762903,200.0
199.0,-254.5138496706448,200.0
200.0,-257.48154702683826,200.0
201.0,-258.21459588812627,200.0
202.0,-255.66448540077167,200.0
203.0,-255.82040553373733,200.0
204.0,-256.05807012819054,200.0
205.0,-257.88933569688106,200.0
206.0,-257.86452034800527,200.0
207.0,-262.0518737829722,200.0
208.0,-259.42483300860727,200.0
209.0,-260.1930787056916,200.0
210.0,-258.53798777894195,200.0
